INFO  | 2022-06-04 02:24:42 | [main] driver.Waiter (Waiter.java:47) - Wait until list of elements to be visible [[[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option]]
INFO  | 2022-06-04 02:24:42 | [main] driver.Waiter (Waiter.java:42) - Wait until element to be visible [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option]
INFO  | 2022-06-04 02:24:42 | [main] pages.BasePage (BasePage.java:81) - Move to element [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_99']//md-content/md-option]
INFO  | 2022-06-04 02:24:43 | [main] driver.Waiter (Waiter.java:47) - Wait until list of elements to be visible [[[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_111']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_111']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_111']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_111']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_111']//md-content/md-option]]
INFO  | 2022-06-04 02:24:43 | [main] driver.Waiter (Waiter.java:42) - Wait until element to be visible [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_111']//md-content/md-option]
INFO  | 2022-06-04 02:24:43 | [main] pages.BasePage (BasePage.java:81) - Move to element [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_111']//md-content/md-option]
INFO  | 2022-06-04 02:24:43 | [main] google.CalculatorPage (CalculatorPage.java:165) - Set instance type n1-standard-8
INFO  | 2022-06-04 02:24:43 | [main] driver.Waiter (Waiter.java:37) - Wait until element to be clickable [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> css selector: [placeholder='Instance type']] and click
INFO  | 2022-06-04 02:24:44 | [main] driver.Waiter (Waiter.java:47) - Wait until list of elements to be visible [[[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_113']//md-optgroup[@label='standard']/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_113']//md-optgroup[@label='standard']/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_113']//md-optgroup[@label='standard']/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_113']//md-optgroup[@label='standard']/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_113']//md-optgroup[@label='standard']/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_113']//md-optgroup[@label='standard']/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_113']//md-optgroup[@label='standard']/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_113']//md-optgroup[@label='standard']/md-option]]
INFO  | 2022-06-04 02:24:44 | [main] driver.Waiter (Waiter.java:42) - Wait until element to be visible [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@id='select_container_113']//md-optgroup[@label='standard']/md-option]
INFO  | 2022-06-04 02:24:44 | [main] google.CalculatorPage (CalculatorPage.java:182) - Set VM class to Regular
INFO  | 2022-06-04 02:24:44 | [main] driver.Waiter (Waiter.java:37) - Wait until element to be clickable [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> css selector: [placeholder='VM Class']] and click
INFO  | 2022-06-04 02:24:45 | [main] driver.Waiter (Waiter.java:47) - Wait until list of elements to be visible [[[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_103']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_103']//md-content/md-option]]
INFO  | 2022-06-04 02:24:45 | [main] driver.Waiter (Waiter.java:42) - Wait until element to be visible [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_103']//md-content/md-option]
INFO  | 2022-06-04 02:24:45 | [main] pages.BasePage (BasePage.java:81) - Move to element [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_103']//md-content/md-option]
INFO  | 2022-06-04 02:24:45 | [main] google.CalculatorPage (CalculatorPage.java:190) - Click to 'Add GPU'
INFO  | 2022-06-04 02:24:45 | [main] driver.Waiter (Waiter.java:37) - Wait until element to be clickable [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> css selector: [aria-label='Add GPUs']] and click
INFO  | 2022-06-04 02:24:46 | [main] google.CalculatorPage (CalculatorPage.java:192) - Set GPU type NVIDIA Tesla P100
INFO  | 2022-06-04 02:24:46 | [main] pages.BasePage (BasePage.java:99) - Highlight element [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> css selector: [aria-label='Add GPUs']]
INFO  | 2022-06-04 02:24:46 | [main] driver.Waiter (Waiter.java:37) - Wait until element to be clickable [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> css selector: [placeholder='GPU type']] and click
INFO  | 2022-06-04 02:24:46 | [main] driver.Waiter (Waiter.java:47) - Wait until list of elements to be visible [[[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_454']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_454']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_454']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_454']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_454']//md-content/md-option]]
INFO  | 2022-06-04 02:24:46 | [main] driver.Waiter (Waiter.java:42) - Wait until element to be visible [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_454']//md-content/md-option]
INFO  | 2022-06-04 02:24:47 | [main] google.CalculatorPage (CalculatorPage.java:198) - Set amount of GPU to 4
INFO  | 2022-06-04 02:24:47 | [main] driver.Waiter (Waiter.java:37) - Wait until element to be clickable [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@ng-model='listingCtrl.computeServer.gpuCount']] and click
